epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
54,1.96705,0.754979,0.67856,0.87246,1281024,1281024,1.0,1.0,310.652,4123.66,0.00093346,0.0
55,1.96357,0.756285,0.6763,0.8736,1281024,1281024,1.0,1.0,302.46,4235.35,0.00093078,0.0
56,1.956308,0.757619,0.67574,0.87328,1281024,1281024,1.0,1.0,301.969,4242.24,0.00092805,0.0
57,1.952826,0.759051,0.67522,0.87172,1281024,1281024,1.0,1.0,301.723,4245.7,0.00092527,0.0
58,1.945824,0.760544,0.68104,0.87478,1281024,1281024,1.0,1.0,301.543,4248.23,0.00092245,0.0
59,1.940479,0.762088,0.67748,0.87346,1281024,1281024,1.0,1.0,520.551,2460.9,0.00091958,0.0
60,1.933318,0.763916,0.6775,0.87254,1281024,1281024,1.0,1.0,527.416,2428.87,0.00091666,0.0
61,1.930647,0.764831,0.6811,0.87556,1281024,1281024,1.0,1.0,515.568,2484.69,0.00091369,0.0
62,1.927302,0.765658,0.6828,0.87692,1281024,1281024,1.0,1.0,514.965,2487.59,0.00091068,0.0
63,1.922113,0.767481,0.68264,0.876,1281024,1281024,1.0,1.0,521.272,2457.49,0.00090762,0.0
64,1.91819,0.768038,0.68532,0.87664,1281024,1281024,1.0,1.0,515.284,2486.06,0.00090451,0.0
65,1.912746,0.769762,0.68148,0.87592,1281024,1281024,1.0,1.0,525.612,2437.21,0.00090136,0.0
66,1.907434,0.771094,0.6811,0.87434,1281024,1281024,1.0,1.0,517.992,2473.06,0.00089816,0.0
67,1.902527,0.772277,0.68318,0.87778,1281024,1281024,1.0,1.0,515.842,2483.36,0.00089491,0.0
68,1.900951,0.772411,0.6825,0.87466,1281024,1281024,1.0,1.0,518.595,2470.18,0.00089163,0.0
69,1.895611,0.773676,0.68368,0.8787,1281024,1281024,1.0,1.0,529.549,2419.09,0.00088829,0.0
70,1.892555,0.775021,0.68274,0.87592,1281024,1281024,1.0,1.0,514.858,2488.11,0.00088492,0.0
71,1.887696,0.77595,0.68294,0.8769,1281024,1281024,1.0,1.0,516.702,2479.23,0.0008815,0.0
72,1.882997,0.77804,0.6837,0.87648,1281024,1281024,1.0,1.0,518.017,2472.94,0.00087803,0.0
73,1.878432,0.779186,0.68394,0.8745,1281024,1281024,1.0,1.0,513.406,2495.15,0.00087453,0.0
74,1.873943,0.780199,0.68476,0.87544,1281024,1281024,1.0,1.0,532.26,2406.76,0.00087098,0.0
75,1.873225,0.780451,0.68468,0.87666,1281024,1281024,1.0,1.0,524.909,2440.47,0.00086739,0.0
76,1.869847,0.781015,0.68226,0.87714,1281024,1281024,1.0,1.0,518.408,2471.07,0.00086375,0.0
77,1.864888,0.78229,0.6828,0.87626,1281024,1281024,1.0,1.0,518.387,2471.17,0.00086008,0.0
78,1.860184,0.783756,0.6859,0.87548,1281024,1281024,1.0,1.0,523.631,2446.43,0.00085637,0.0
79,1.858922,0.783607,0.68694,0.87706,1281024,1281024,1.0,1.0,517.014,2477.74,0.00085261,0.0
80,1.855532,0.785293,0.6892,0.87658,1281024,1281024,1.0,1.0,520.31,2462.04,0.00084882,0.0
81,1.849903,0.786427,0.68872,0.87782,1281024,1281024,1.0,1.0,519.262,2467.01,0.00084498,0.0
82,1.847521,0.786903,0.68564,0.8768,1281024,1281024,1.0,1.0,515.408,2485.46,0.00084111,0.0
83,1.842168,0.788557,0.68818,0.8792,1281024,1281024,1.0,1.0,524.798,2440.98,0.00083719,0.0
84,1.837934,0.789641,0.68118,0.87618,1281024,1281024,1.0,1.0,543.425,2357.32,0.00083324,0.0
85,1.835609,0.790086,0.68332,0.87876,1281024,1281024,1.0,1.0,520.624,2460.56,0.00082926,0.0
86,1.833793,0.79095,0.68558,0.87786,1281024,1281024,1.0,1.0,523.462,2447.22,0.00082523,0.0
87,1.827297,0.792614,0.68824,0.87898,1281024,1281024,1.0,1.0,516.316,2481.08,0.00082117,0.0
88,1.827936,0.792875,0.68432,0.8767,1281024,1281024,1.0,1.0,532.167,2407.19,0.00081707,0.0
89,1.819168,0.794775,0.6847,0.8756,1281024,1281024,1.0,1.0,517.899,2473.5,0.00081293,0.0
90,1.816623,0.795591,0.69102,0.88054,1281024,1281024,1.0,1.0,514.771,2488.53,0.00080876,0.0
91,1.813661,0.79628,0.69018,0.87936,1281024,1281024,1.0,1.0,514.98,2487.52,0.00080456,0.0
92,1.809311,0.797289,0.68876,0.87716,1281024,1281024,1.0,1.0,518.396,2471.13,0.00080032,0.0
93,1.807058,0.797737,0.68684,0.88008,1281024,1281024,1.0,1.0,526.225,2434.37,0.00079604,0.0
94,1.801188,0.799644,0.68936,0.87906,1281024,1281024,1.0,1.0,519.731,2464.78,0.00079173,0.0
95,1.798087,0.800844,0.68712,0.87642,1281024,1281024,1.0,1.0,524.15,2444.0,0.00078739,0.0
96,1.7944,0.801396,0.68926,0.87828,1281024,1281024,1.0,1.0,516.748,2479.01,0.00078302,0.0
97,1.791455,0.801962,0.6828,0.87382,1281024,1281024,1.0,1.0,522.009,2454.03,0.00077861,0.0
98,1.788695,0.803,0.68752,0.87722,1281024,1281024,1.0,1.0,533.381,2401.71,0.00077418,0.0
99,1.787541,0.803229,0.68726,0.87804,1281024,1281024,1.0,1.0,519.399,2466.36,0.00076971,0.0
100,1.784053,0.804386,0.69032,0.8809,1281024,1281024,1.0,1.0,517.016,2477.72,0.00076521,0.0
101,1.779003,0.805783,0.68868,0.8792,1281024,1281024,1.0,1.0,517.133,2477.16,0.00076068,0.0
102,1.774033,0.806639,0.68536,0.87588,1281024,1281024,1.0,1.0,517.069,2477.47,0.00075612,0.0
103,1.770803,0.807906,0.68848,0.87652,1281024,1281024,1.0,1.0,539.523,2374.36,0.00075154,0.0
104,1.769657,0.808022,0.68658,0.87646,1281024,1281024,1.0,1.0,534.257,2397.77,0.00074692,0.0
105,1.766477,0.809808,0.68924,0.87874,1281024,1281024,1.0,1.0,518.47,2470.78,0.00074228,0.0
