epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
53,3.413292,0.645416,0.5893,0.82542,1281024,595433,0.46481,0.798144,510.975,2507.02,0.00093609,0.0
54,3.384395,0.650427,0.58614,0.82318,1281024,596336,0.465515,0.798848,532.629,2405.1,0.00093346,0.0
55,3.368473,0.65334,0.58564,0.82512,1281024,596119,0.465346,0.798679,517.783,2474.06,0.00093078,0.0
56,3.351514,0.656596,0.5897,0.82512,1281024,596285,0.465475,0.798809,492.127,2603.03,0.00092805,0.0
57,3.324478,0.660262,0.59368,0.82966,1281024,597135,0.466139,0.799472,511.728,2503.33,0.00092527,0.0
58,3.304902,0.663231,0.59024,0.82626,1281024,597665,0.466553,0.799886,511.652,2503.7,0.00092245,0.0
59,3.289337,0.666584,0.59672,0.83036,1281024,597709,0.466587,0.79992,507.773,2522.83,0.00091958,0.0
60,3.265962,0.669952,0.59484,0.8289,1281024,598680,0.467345,0.800678,511.728,2503.33,0.00091666,0.0
61,3.249604,0.673268,0.59736,0.83008,1281024,598707,0.467366,0.800699,512.282,2500.62,0.00091369,0.0
62,3.231546,0.676553,0.60006,0.82938,1281024,599478,0.467968,0.801301,510.439,2509.65,0.00091068,0.0
63,3.210326,0.679978,0.60042,0.82862,1281024,600310,0.468617,0.801951,492.398,2601.6,0.00090762,0.0
64,3.197206,0.681965,0.59704,0.8288,1281024,600691,0.468915,0.802248,526.157,2434.68,0.00090451,0.0
65,3.180289,0.685126,0.60148,0.83276,1281024,601264,0.469362,0.802695,512.411,2499.99,0.00090136,0.0
66,3.162722,0.688612,0.60616,0.83396,1281024,601916,0.469871,0.803204,508.369,2519.87,0.00089816,0.0
67,3.148504,0.690484,0.60908,0.83582,1281024,602272,0.470149,0.803482,508.521,2519.12,0.00089491,0.0
68,3.134786,0.692711,0.6077,0.83388,1281024,602989,0.470709,0.804042,511.692,2503.51,0.00089163,0.0
69,3.117457,0.695661,0.60954,0.83488,1281024,603396,0.471026,0.80436,509.051,2516.49,0.00088829,0.0
70,3.101259,0.697835,0.61078,0.83864,1281024,604035,0.471525,0.804858,490.974,2609.15,0.00088492,0.0
71,3.084573,0.700702,0.6108,0.83874,1281024,605058,0.472324,0.805657,511.549,2504.2,0.0008815,0.0
72,3.068756,0.703694,0.61606,0.841,1281024,605715,0.472837,0.80617,510.878,2507.5,0.00087803,0.0
73,3.056631,0.706038,0.61338,0.8389,1281024,606218,0.473229,0.806563,507.822,2522.58,0.00087453,0.0
74,3.034936,0.708837,0.61558,0.83744,1281024,607418,0.474166,0.807499,526.048,2435.18,0.00087098,0.0
75,3.021483,0.711444,0.61766,0.84054,1281024,607804,0.474467,0.807801,511.581,2504.05,0.00086739,0.0
76,3.0158,0.71207,0.61768,0.84286,1281024,607866,0.474516,0.807849,511.112,2506.35,0.00086375,0.0
77,2.994898,0.715329,0.61934,0.8423,1281024,609182,0.475543,0.808876,508.837,2517.55,0.00086008,0.0
78,2.98633,0.716952,0.61418,0.83862,1281024,609516,0.475804,0.809137,493.749,2594.49,0.00085637,0.0
79,2.971263,0.719211,0.62032,0.84138,1281024,610178,0.476321,0.809654,507.573,2523.82,0.00085261,0.0
80,2.958797,0.721655,0.61728,0.84068,1281024,610987,0.476952,0.810285,509.87,2512.45,0.00084882,0.0
81,2.948707,0.723204,0.61976,0.84074,1281024,611626,0.477451,0.810784,511.458,2504.65,0.00084498,0.0
82,2.933305,0.725557,0.6204,0.84146,1281024,612247,0.477936,0.811269,509.437,2514.59,0.00084111,0.0
83,2.91858,0.728044,0.6232,0.84074,1281024,613411,0.478844,0.812178,523.747,2445.88,0.00083719,0.0
84,2.912142,0.729444,0.616,0.83732,1281024,613212,0.478689,0.812022,516.463,2480.38,0.00083324,0.0
85,2.892043,0.731947,0.62036,0.84164,1281024,614997,0.480082,0.813416,511.955,2502.22,0.00082926,0.0
86,2.881856,0.733455,0.626,0.84624,1281024,615450,0.480436,0.813769,493.604,2595.25,0.00082523,0.0
87,2.866553,0.736042,0.622,0.84384,1281024,616551,0.481295,0.814629,510.889,2507.44,0.00082117,0.0
88,2.857764,0.737567,0.62452,0.84502,1281024,616890,0.48156,0.814893,511.917,2502.41,0.00081707,0.0
89,2.844423,0.739037,0.62584,0.84262,1281024,617754,0.482235,0.815568,519.555,2465.62,0.00081293,0.0
90,2.834022,0.741512,0.624,0.8449,1281024,618155,0.482548,0.815881,512.383,2500.13,0.00080876,0.0
91,2.819947,0.743152,0.6299,0.84544,1281024,619159,0.483331,0.816665,510.806,2507.85,0.00080456,0.0
92,2.811108,0.744205,0.62462,0.84172,1281024,619762,0.483802,0.817135,512.662,2498.77,0.00080032,0.0
93,2.79385,0.74676,0.62592,0.846,1281024,620981,0.484754,0.818087,522.538,2451.54,0.00079604,0.0
