epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
54,3.557773,0.604294,0.55922,0.8025,1281024,640512,0.5,0.833333,515.553,2484.76,0.00093346,0.0
55,3.528822,0.609651,0.56038,0.80382,1281024,640512,0.5,0.833333,526.946,2431.03,0.00093078,0.0
56,3.49824,0.614645,0.56042,0.80254,1281024,640512,0.5,0.833333,523.861,2445.35,0.00092805,0.0
57,3.474815,0.619517,0.56608,0.8094,1281024,640512,0.5,0.833333,519.299,2466.83,0.00092527,0.0
58,3.456242,0.623838,0.5666,0.80754,1281024,640512,0.5,0.833333,517.027,2477.67,0.00092245,0.0
59,3.425509,0.628376,0.57092,0.81136,1281024,640512,0.5,0.833333,528.077,2425.83,0.00091958,0.0
60,3.406398,0.631893,0.56952,0.8096,1281024,640512,0.5,0.833333,518.365,2471.28,0.00091666,0.0
61,3.384073,0.636365,0.57818,0.81574,1281024,640512,0.5,0.833333,518.438,2470.93,0.00091369,0.0
62,3.359897,0.640034,0.58084,0.81684,1281024,640512,0.5,0.833333,517.744,2474.24,0.00091068,0.0
63,3.335075,0.64457,0.57944,0.81446,1281024,640512,0.5,0.833333,519.836,2464.28,0.00090762,0.0
64,3.320316,0.647643,0.58406,0.8181,1281024,640512,0.5,0.833333,517.667,2474.61,0.00090451,0.0
65,3.295612,0.652273,0.5863,0.81996,1281024,640512,0.5,0.833333,538.072,2380.77,0.00090136,0.0
66,3.277391,0.655225,0.58558,0.81978,1281024,640512,0.5,0.833333,519.281,2466.92,0.00089816,0.0
67,3.258982,0.659043,0.58812,0.81938,1281024,640512,0.5,0.833333,514.834,2488.23,0.00089491,0.0
68,3.24116,0.661937,0.59306,0.82316,1281024,640512,0.5,0.833333,519.972,2463.64,0.00089163,0.0
69,3.22051,0.665596,0.5909,0.82158,1281024,640512,0.5,0.833333,524.411,2442.79,0.00088829,0.0
